사업장명,업소유형,업태구분명,지번주소,도로명주소,가까운 지하철역,지하철역과의 거리,도보시간,위도,경도,별점,방문자 리뷰수,블로그 리뷰수,한실수,양실수,욕실수,구비시설,네이버 이런점이 좋아요 총합,네이버 이런점이 좋아요 {항목:좋아요수},데이터갱신일자,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,naver_pk,리뷰수,객실수,구비시설 개수,운영기간
미니멀시즌,모텔,여관업,서울특별시 금천구 독산동 145-10 ,서울특별시 금천구 시흥대로141길 84 (독산동),"구로디지털단지, 2호선",998.9692234532793,14.977049826885745,37.4766774315732,126.898022057642,4.43,30.0,5.0,0.0,31.0,31.0,,17.0,"{'침구가 좋아요': 6},{'깨끗해요': 6},{'친절해요': 6},{'조용히 쉬기 좋아요': 3},{'주차하기 편해요': 3},{'방음이 잘돼요': 3},{'화장실이 잘 되어있어요': 3},{'즐길 거리가 많아요': 1},{'대중교통이 편해요': 1},{'냉난방이 잘돼요': 1}",2021-04-24 02:40:00.0,1983-12-05,,1,,,,,"37.4766774316, 126.8980220576",35.0,31.0,,
남천,,여인숙업,서울특별시 금천구 가산동 142-23 ,서울특별시 금천구 남부순환로108길 20-25 (가산동),"가산디지털단지, 7호선",796.0283772669775,11.934458429789768,37.478497473948,126.891354412643,,,,9.0,0.0,0.0,,,,2021-04-23 02:40:00.0,1988-11-12,,1,,,,,"37.4784974739, 126.8913544126",,9.0,,
그린장,,여관업,서울특별시 금천구 시흥동 889-4 ,서울특별시 금천구 시흥대로52길 49-0 (시흥동),"금천구청, 경부선",737.5631307820908,11.057918002729997,37.4534171001609,126.901842056218,,,,0.0,15.0,16.0,,,,2022-01-01 02:40:00.0,1980-10-06,,1,,,,,"37.4534171002, 126.9018420562",,15.0,,
용궁여인숙,여관,여인숙업,서울특별시 금천구 시흥동 879-95 ,서울특별시 금천구 금하로9길 4-22 (시흥동),"금천구청, 경부선",818.8373290256005,12.276421724521748,37.4542630878977,126.903075362504,,,,9.0,0.0,0.0,,,,2021-04-24 02:40:00.0,1970-12-16,,1,,,,,"37.4542630879, 126.9030753625",,9.0,,
서울여인숙,여관,여인숙업,서울특별시 금천구 가산동 146-5 ,서울특별시 금천구 남부순환로110길 3 (가산동),"구로디지털단지, 2호선",992.9766762269688,14.887206540134462,37.4780890100394,126.894697746791,,,,37.0,0.0,0.0,,,,2021-04-23 02:40:00.0,1974-09-18,,1,,,,,"37.4780890100, 126.8946977468",,37.0,,
대림장,여관,여관업,서울특별시 금천구 독산동 991-18 ,서울특별시 금천구 독산로 288 (독산동),"독산, 경부선",1409.5495666880786,21.132677161740308,37.4724322582117,126.903411963908,,3.0,,2.0,16.0,18.0,,,,2021-04-23 02:40:00.0,1983-04-26,,1,,,,,"37.4724322582, 126.9034119639",,18.0,,
이사벨,호텔,관광호텔,서울특별시 금천구 독산동 152-10 ,서울특별시 금천구 가산로 50 (독산동),"독산, 경부선",923.6773650370249,13.848236357376685,37.4717037747711,126.89750925138,4.11,65.0,19.0,0.0,56.0,0.0,,31.0,"{'깨끗해요': 9},{'조용히 쉬기 좋아요': 9},{'침구가 좋아요': 7},{'친절해요': 6},{'주차하기 편해요': 6},{'방음이 잘돼요': 3},{'냉난방이 잘돼요': 3},{'호캉스하기 좋아요': 2},{'인테리어가 멋져요': 2},{'대중교통이 편해요': 1}",2020-12-04 02:40:00.0,2004-10-27,,1,,,,,"37.4717037748, 126.8975092514",84.0,56.0,,
카프리모텔,모텔,여관업,서울특별시 금천구 독산동 200-9 ,서울특별시 금천구 가산로 31-1 (독산동),"독산, 경부선",1028.916098847142,15.426028468472891,37.4711270481827,126.899408195248,,18.0,,0.0,30.0,24.0,,,,2021-04-24 02:40:00.0,1981-12-31,,1,,,,,"37.4711270482, 126.8994081952",,30.0,,
문화여인숙,,여인숙업,서울특별시 금천구 가산동 145-1 ,서울특별시 금천구 남부순환로108길 15 (가산동),"가산디지털단지, 7호선",902.5975692799576,13.532197440479123,37.4780718543433,126.892456425405,,,,10.0,0.0,0.0,,,,2022-01-16 02:40:00.0,1975-08-11,,1,,,,,"37.4780718543, 126.8924564254",,10.0,,
썸 모텔,여관,여인숙업,서울특별시 금천구 가산동 42-13 ,서울특별시 금천구 벚꽃로40길 11 (가산동),"가산디지털단지, 경부선",108.73661749163746,1.630234145301911,37.4822748073888,126.883449016476,,,,10.0,0.0,0.0,,,,2021-12-01 02:40:00.0,1981-03-24,,1,,,,,"37.4822748074, 126.8834490165",,10.0,,
스카이모텔,모텔,여관업,서울특별시 금천구 독산동 1022-123 ,서울특별시 금천구 독산로 224 (독산동),"독산, 경부선",1125.6819311915065,16.8767905725863,37.4667424534453,126.90197260544,,6.0,,6.0,17.0,26.0,,,,2021-04-24 02:40:00.0,1983-10-17,,1,,,,,"37.4667424534, 126.9019726054",,23.0,,
은혜여인숙,,여인숙업,서울특별시 금천구 가산동 145-19 ,서울특별시 금천구 남부순환로112길 64 (가산동),"가산디지털단지, 7호선",933.8707321452292,14.001060451952462,37.4771987722852,126.892451797672,,,,9.0,0.0,0.0,,,,2021-04-24 02:40:00.0,1974-12-04,,1,,,,,"37.4771987723, 126.8924517977",,9.0,,
멀티도로시,모텔,여관업,서울특별시 금천구 시흥동 122-4 ,서울특별시 금천구 금하로 613 (시흥동),"금천구청, 경부선",497.00537777752567,7.4513549891683,37.4545634188182,126.899436824785,,8.0,12.0,0.0,17.0,0.0,,,,2021-05-26 02:40:00.0,1980-08-13,,1,,,,,"37.4545634188, 126.8994368248",20.0,17.0,,
호텔뷰,,여관업,서울특별시 금천구 가산동 140-83번지 ,서울특별시 금천구 디지털로12길 7 (가산동),"가산디지털단지, 7호선",634.6043245951764,9.51430771507011,37.4783166898497,126.889367473537,,,,0.0,48.0,0.0,,,,2018-08-31 23:59:59.0,2005-12-22,,1,,,,,"37.4783166898, 126.8893674735",,48.0,,
인성,,여인숙업,서울특별시 금천구 가산동 83-13,서울특별시 금천구 벚꽃로38길 32-39 (가산동),"가산디지털단지, 경부선",253.41393245325008,3.799309332132685,37.4826829500908,126.885090403065,,,,,,,,,,2021-12-05 23:01:00.0,1999-01-11,,1,,,,,"37.4826829501, 126.8850904031",,,,
광명장,여관,여인숙업,서울특별시 금천구 가산동 142-3,서울특별시 금천구 남부순환로108길 6 (가산동),"가산디지털단지, 7호선",907.589097128841,13.607032940462384,37.4785626500815,126.892672339767,,,,,,,,,,2021-11-02 00:02:00.0,1974-07-31,,1,,,,,"37.4785626501, 126.8926723398",,,,
팰리스파크,모텔,여관업,서울특별시 금천구 가산동 140-33 ,서울특별시 금천구 디지털로 208-8 (가산동),"가산디지털단지, 7호선",637.2579453855516,9.554092134715916,37.4785774885956,126.889513724346,4.24,52.0,,2.0,33.0,35.0,,,,2021-09-16 02:40:00.0,2000-07-01,,1,,,,,"37.4785774886, 126.8895137243",,35.0,,
발렌타인,,여관업,서울특별시 금천구 독산동 1008-12 ,서울특별시 금천구 시흥대로105길 8 (독산동),"독산, 경부선",689.9870698707435,10.344633731195556,37.4653024423894,126.896873225655,,,,0.0,55.0,0.0,,,,2021-04-15 02:40:00.0,2005-12-06,,3,2021-04-13,,,,"37.4653024424, 126.8968732257",,55.0,,6355.0
서울여인숙,,여관업,서울특별시 금천구 시흥동 883-2번지 [시흥대로 455] ,,"금천구청, 경부선",639.7344343205349,9.591220904355843,37.4545773378262,126.901089740462,,,,15.0,,,,,,2018-08-31 23:59:59.0,1968-01-18,,3,2011-05-04,,,,"37.4545773378, 126.9010897405",,,,20192.0
팔팔장,,여관업,서울특별시 금천구 가산동 139-26번지 ,,"가산디지털단지, 7호선",527.3430445539751,7.906192572023615,37.4794307006744,126.888508395078,,,,11.0,5.0,16.0,,,,2018-08-31 23:59:59.0,1976-05-10,,3,2004-11-01,,,,"37.4794307007, 126.8885083951",,16.0,,17157.0
동원장,,여관업,서울특별시 금천구 시흥동 813-34번지 [독산동길 253] ,,"금천구청, 경부선",1050.4165911784655,15.748374680336816,37.4576600364851,126.905574838992,,,,2.0,10.0,12.0,,,,2018-08-31 23:59:59.0,1983-09-14,,3,2012-02-13,,,,"37.4576600365, 126.9055748390",,12.0,,14474.0
대호,,여관업,서울특별시 금천구 가산동 139-18번지 ,,"가산디지털단지, 7호선",567.9046864395478,8.514313140023205,37.4789911502364,126.888850256857,,,,5.0,11.0,16.0,,,,2018-08-31 23:59:59.0,1982-11-23,,3,2004-11-01,,,,"37.4789911502, 126.8888502569",,16.0,,14769.0
부르나,,여관업,서울특별시 금천구 시흥동 999-32번지 ,서울특별시 금천구 시흥대로71길 43 (시흥동),"금천구청, 경부선",520.3781622352568,7.801771547754974,37.4550915600999,126.899823104719,,,,5.0,24.0,29.0,,,,2020-04-23 02:40:00.0,1997-12-26,,3,2020-04-21,,,,"37.4550915601, 126.8998231047",,29.0,,9257.0
관악여인숙,,여인숙업,서울특별시 금천구 시흥동 995-51번지 [금천로 229-1] ,,"금천구청, 경부선",476.948070734582,7.150645738149655,37.4539074917768,126.898920748859,,,,14.0,,,,,,2018-08-31 23:59:59.0,1979-04-01,,3,2010-12-31,,,,"37.4539074918, 126.8989207489",,,,16101.0
모텔딩크,,여관업,서울특별시 금천구 가산동 140-83번지 ,,"가산디지털단지, 7호선",637.5640907513304,9.558682020259823,37.4783443063016,126.889416160358,,,,4.0,44.0,,,,,2018-08-31 23:59:59.0,2002-09-30,,3,2005-12-19,,,,"37.4783443063, 126.8894161604",,48.0,,7518.0
유진빌딩,,관광호텔,서울특별시 금천구 독산동 990-2번지 ,,"구로디지털단지, 2호선",1282.8077268653674,19.232499653153933,37.4737819377198,126.90304123168,,,,,,,,,,2018-08-31 23:59:59.0,1988-07-06,,3,2003-04-23,,,,"37.4737819377, 126.9030412317",,,,12717.0
역전,,여관업,서울특별시 금천구 시흥동 113-115번지 [발소길 23] ,,"금천구청, 경부선",191.9251009934765,2.8774377960041457,37.4557235095178,126.896145740819,,,,1.0,13.0,,,,,2018-08-31 23:59:59.0,1978-04-19,,3,2008-12-19,,,,"37.4557235095, 126.8961457408",,14.0,,16448.0
미시간장,,여관업,서울특별시 금천구 독산동 1077-2번지 ,서울특별시 금천구 시흥대로 284 (독산동),"금천구청, 경부선",604.1878194702907,9.05828814798037,37.4590803117488,126.899257956807,,,,12.0,13.0,25.0,,,,2018-08-31 23:59:59.0,1986-10-07,,3,2016-05-02,,,,"37.4590803117, 126.8992579568",,25.0,,13355.0
