,naver_pk
3184,"37.6133652681, 127.0309431515"
3185,"37.5645600361, 127.0080101409"
3186,"37.6419778580, 127.0162918274"
3187,"37.6388931421, 127.0259396525"
3188,"37.6401048162, 127.0262124510"
3189,"37.6337491707, 127.0208184254"
3190,"37.6341420312, 127.0221342019"
3191,"37.6384162082, 127.0269336862"
3192,"37.6409031529, 127.0282746170"
3193,"37.6415985718, 127.0253262593"
3194,"37.6477169152, 127.0111259982"
3195,"37.6116939968, 127.0310463171"
3196,"37.6411637089, 127.0283109728"
3197,"37.6371036550, 127.0257144756"
3198,"37.6695427529, 127.0077022275"
3199,"37.6477140079, 127.0113783463"
3200,"37.6361426991, 127.0224538359"
3201,"37.6295099316, 127.0232824501"
3202,"37.6421900548, 127.0292772859"
3203,"37.6327570734, 127.0228826413"
3204,"37.5381276638, 127.1375920253"
3205,"37.5616718324, 126.9900254285"
3206,"37.6384608599, 127.0254786013"
3207,"37.6103781778, 127.0321106081"
3208,"37.6122174796, 127.0313559592"
3209,"37.6156086643, 127.0287064282"
3210,"37.6250829779, 127.0260865332"
3211,"37.6338002227, 127.0242948071"
3212,"37.6176684535, 127.0299949594"
3213,"37.6318689758, 127.0233214777"
3214,"37.6339552515, 127.0226375043"
3215,"37.6425378117, 127.0293699928"
3216,"37.5674184161, 126.9929326643"
3217,"37.6181506320, 127.0259408265"
3218,"37.6696947114, 127.0082467604"
3219,"37.6367715378, 127.0253633683"
3220,"37.6167463117, 127.0277033270"
3221,"37.6361630993, 127.0222536486"
3222,"37.6351932047, 127.0216830363"
3223,"37.6372912789, 127.0259486126"
3224,"37.6323988192, 127.0243445383"
3225,"37.6327557109, 127.0242898221"
3226,"37.6704979494, 127.0065876635"
3227,"37.6109849494, 127.0326017268"
3228,"37.6406094962, 127.0276233567"
3229,"37.6338619330, 127.0238889013"
3230,"37.6364486961, 127.0250288084"
3231,"37.6380926051, 127.0251622591"
3232,"37.6194191656, 127.0197175199"
3233,"37.6199425079, 127.0215031496"
3234,"37.6193354034, 127.0220928856"
3235,"37.6130171309, 127.0284163911"
3236,"37.6201332422, 127.0205179704"
3237,"37.6120904331, 127.0310419516"
3238,"37.6121289712, 127.0318095251"
3239,"37.6305238310, 127.0222466425"
3240,"37.6334053507, 127.0218364800"
3241,"37.6122158909, 127.0312311468"
3242,"37.6318430690, 127.0231100722"
3243,"37.6353317550, 127.0222805913"
3244,"37.6353727781, 127.0201175856"
3245,"37.6391878098, 127.0231199381"
3246,"37.6355440200, 127.0327438758"
3247,"37.6578698464, 127.0134608366"
3248,"37.6337002896, 127.0152326665"
3249,"nan, nan"
3250,"37.6650398846, 127.0114907032"
3251,"37.6339441281, 127.0237636263"
3252,"37.6351575985, 127.0240941519"
3253,"37.6359562789, 127.0220093221"
3254,"37.6336007855, 127.0212832201"
3255,"37.6375826226, 127.0239846962"
3256,"37.6350608533, 127.0239930624"
3257,"37.6318340248, 127.0232847611"
3258,"37.6388783329, 127.0276714347"
3259,"37.6381974275, 127.0278037417"
3260,"37.6352093200, 127.0281420577"
3261,"37.6363792482, 127.0249435866"
3262,"37.6324145951, 127.0229526628"
3263,"37.6424370765, 127.0275226253"
3264,"37.6356077335, 127.0240809285"
3265,"nan, nan"
3266,"37.6361446285, 127.0222564755"
3267,"37.6105870904, 127.0328623837"
3268,"37.6158428509, 127.0223703704"
3269,"37.6212022671, 127.0199748939"
3270,"37.6454400197, 127.0195835521"
3271,"37.6408239758, 127.0281935755"
3272,"37.6121289712, 127.0318095251"
3273,"37.6334625115, 127.0221146275"
3274,"37.6421717066, 127.0291484511"
3275,"37.6326183919, 127.0243324879"
3276,"37.6330893979, 127.0240360456"
3277,"37.6324433528, 127.0228689503"
3278,"37.6362985381, 127.0248574547"
3279,"37.6358856255, 127.0243824968"
3280,"37.6417388611, 127.0288331832"
3281,"37.6421958407, 127.0288315470"
3282,"37.6250720044, 127.0275896261"
3283,"37.6404967553, 127.0273555818"
3284,"37.6353060657, 127.0241684077"
3285,"37.5540353210, 126.9407695794"
3286,"37.6388668883, 127.0256883445"
3287,"37.6246148128, 127.0206938771"
3288,"37.6322995073, 127.0231163312"
3289,"37.6427743828, 127.0283771881"
3290,"37.6359767610, 127.0213570866"
3291,"37.6349839918, 127.0212095204"
3292,"37.6343582599, 127.0257268981"
3293,"37.6329787234, 127.0241999418"
3294,"37.6384554465, 127.0250932690"
3295,"37.6386321899, 127.0252330267"
3296,"37.6420232476, 127.0219710021"
3297,"37.6404214615, 127.0268391230"
3298,"37.6408681919, 127.0297517325"
3299,"37.6404535713, 127.0293418665"
3300,"37.6403903723, 127.0291397107"
3301,"37.6414132428, 127.0299285902"
3302,"37.6388087901, 127.0279972588"
3303,"37.6333285672, 127.0224209277"
3304,"37.6462925787, 127.0149450481"
3305,"37.6340357322, 127.0229861295"
3306,"nan, nan"
3307,"37.6352073487, 127.0196330949"
3308,"nan, nan"
3309,"37.6385218056, 127.0252967768"
3310,"37.6177933189, 127.0303918999"
3311,"37.6354402225, 127.0241679979"
3312,"37.6333348973, 127.0218165201"
3313,"37.6300018641, 127.0237644102"
3314,"37.6661872899, 127.0447322929"
3315,"37.6382874778, 127.0243528043"
3316,"37.6342143706, 127.0212061295"
3317,"37.6342640568, 127.0242621032"
3318,"37.6222177467, 127.0195771190"
3319,"37.6330772928, 127.0218852124"
3320,"37.6243232699, 127.0205998891"
3321,"nan, nan"
3322,"37.6102379811, 127.0321206277"
3323,"37.6410629767, 127.0279421330"
3324,"37.6349004887, 127.0205981636"
3325,"37.6726397319, 127.0053374768"
3326,"37.6208422419, 127.0259460661"
3327,"37.6475742195, 127.0170032956"
3328,"37.6440442357, 127.0215346831"
3329,"37.6357375402, 127.0214076610"
3330,"37.6320370157, 127.0232912820"
3331,"37.6338179073, 127.0218622047"
3332,"nan, nan"
3333,"37.6393876750, 127.0264250908"
3334,"37.6469913883, 127.0055184133"
3335,"37.6347265308, 127.0209820672"
3336,"37.6373207956, 127.0239882375"
3337,"37.6374953797, 127.0241194924"
3338,"37.6407860293, 127.0203899519"
3339,"37.6359594820, 127.0222250374"
3340,"37.6122735734, 127.0308152823"
3341,"37.6333300344, 127.0241185992"
3342,"37.6333767213, 127.0240410097"
3343,"37.6334226389, 127.0223746197"
3344,"37.6174393531, 127.0284554522"
3345,"nan, nan"
3346,"37.6421073936, 127.0290781771"
3347,"37.6265584212, 127.0212044074"
3348,"37.6403770191, 127.0273355967"
3349,"37.6415406810, 127.0275490343"
3350,"37.6112776691, 127.0306275428"
3351,"37.6353317550, 127.0222805913"
3352,"37.6469591512, 127.0179944093"
3353,"37.6780499436, 127.0541978896"
3354,"37.6426947524, 127.0290491732"
3355,"37.6230780608, 127.0262692261"
3356,"37.6366514667, 127.0252221601"
3357,"37.6331970343, 127.0218826418"
3358,"37.6637108696, 127.0368734566"
3359,"37.6222347568, 127.0191409032"
3360,"37.6740613341, 127.0476727554"
3361,"37.6715614230, 127.0423838574"
3362,"37.6435953087, 127.0310821373"
3363,"37.6407576284, 127.0385154211"
3364,"37.6374506160, 127.0360694312"
3365,"37.6861925373, 127.0456786012"
3366,"nan, nan"
3367,"37.6723685864, 127.0446477029"
3368,"37.6844878145, 127.0422490467"
3369,"37.6588231796, 127.0389785255"
3370,"nan, nan"
3371,"37.6374891165, 127.0377077342"
3372,"37.6601869647, 127.0401448598"
3373,"37.6553745181, 127.0139611686"
3374,"37.6460325130, 127.0371641957"
3375,"37.6407438340, 127.0359761890"
3376,"nan, nan"
3377,"37.6436387778, 127.0305777126"
3378,"37.6474679494, 127.0366221424"
3379,"37.6590487647, 127.0393125149"
3380,"37.6588689007, 127.0396654435"
3381,"37.6553202080, 127.0145489740"
3382,"37.6850860236, 127.0426109231"
3383,"37.6651700103, 127.0359913752"
3384,"37.6755073772, 127.0461594784"
3385,"37.6510954076, 127.0357092180"
3386,"nan, nan"
3387,"37.6651410798, 127.0360209429"
3388,"37.6436417482, 127.0305888179"
3389,"37.6585171485, 127.0380513292"
3390,"37.6677979259, 127.0436550206"
3391,"37.6702672955, 127.0425229922"
3392,"37.6846615930, 127.0456862784"
3393,"37.6585171485, 127.0380513292"
3394,"37.6537387729, 127.0511953042"
3395,"37.6529397677, 127.0367259120"
3396,"37.6752147972, 127.0478227819"
3397,"37.6818772160, 127.0452044693"
3398,"37.6462321316, 127.0320792394"
3399,"37.6434831749, 127.0309346784"
3400,"37.6588503168, 127.0386511289"
3401,"37.5555594384, 126.9203731492"
3402,"37.6559716046, 127.0394213851"
3403,"37.6851178616, 127.0456514135"
3404,"37.6677979259, 127.0436550206"
3405,"37.6538201308, 127.0516108003"
3406,"37.6529959432, 127.0494340090"
3407,"37.6728224684, 127.0449679658"
3408,"37.6740100527, 127.0440038202"
3409,"37.6746473416, 127.0549007040"
3410,"37.6496664743, 127.0347169040"
3411,"37.6637273506, 127.0368956789"
3412,"37.6651410798, 127.0360209429"
3413,"37.6589118275, 127.0395461296"
3414,"37.6773499837, 127.0454265118"
3415,"37.6249148961, 127.0795388991"
3416,"37.6723765169, 127.0446428336"
3417,"37.6537753553, 127.0513967033"
3418,"37.6575997042, 127.0404127346"
3419,"37.6715208330, 127.0432546977"
3420,"37.6298163233, 127.0588466545"
3421,"37.6547706664, 127.0574594259"
3422,"37.5723510855, 126.9874006192"
3423,"37.6171290349, 127.0657460401"
3424,"37.6545075830, 127.0585517752"
3425,"37.6684857318, 127.0795440044"
3426,"37.6543443239, 127.0578234317"
3427,"37.6545928711, 127.0578922986"
3428,"37.5147334660, 127.1078101676"
3429,"37.6183560989, 127.0767729147"
3430,"37.6551928322, 127.0593489850"
3431,"37.6548342349, 127.0577277128"
3432,"37.6549440925, 127.0582209847"
3433,"37.6546221535, 127.0580747725"
3434,"37.6171488439, 127.0734082161"
3435,"37.6152677035, 127.0660328845"
3436,"37.6230010526, 127.0597972152"
3437,"37.6595337651, 127.0712286390"
3438,"37.6598108009, 127.0708062902"
3439,"37.6592029684, 127.0711562447"
3440,"37.6630326782, 127.0726364477"
3441,"37.6187562162, 127.0781627997"
3442,"37.6543791165, 127.0579770118"
3443,"37.6782750641, 127.0540759650"
3444,"37.6549902187, 127.0584114055"
3445,"37.6187615673, 127.0781094555"
3446,"37.6656151000, 127.0771296240"
3447,"37.6706984728, 127.0835486884"
3448,"37.6657742857, 127.0782506143"
3449,"37.6652366018, 127.0768478096"
3450,"37.6264786472, 127.0943373211"
3451,"nan, nan"
3452,"37.6655634067, 127.0780535208"
3453,"37.6236070703, 127.0606528257"
3454,"37.6191205465, 127.0791527059"
3455,"37.6194591576, 127.0785835418"
3456,"nan, nan"
3457,"37.5641981786, 127.0021073080"
3458,"37.6547479384, 127.0586054529"
3459,"37.6622409537, 127.0695510302"
3460,"37.6552321342, 127.0594897655"
3461,"37.6634208851, 127.0729702636"
3462,"37.6601717271, 127.0706675745"
3463,"37.6670513941, 127.0777531344"
3464,"37.5895715165, 126.9155408319"
3465,"37.6089449312, 126.9299169543"
3466,"37.6261594829, 126.9193458880"
3467,"37.5940943734, 126.9175342623"
3468,"37.6179836436, 126.9203912362"
3469,"37.6224964924, 126.9194362743"
3470,"37.6077334250, 126.9253048632"
3471,"37.5878623198, 126.9158994137"
3472,"37.6088274865, 126.9284889294"
3473,"37.5826897561, 126.8955276335"
3474,"37.6203737911, 126.9196047345"
3475,"37.6086028247, 126.9294617683"
3476,"37.5648236246, 127.0304186988"
3477,"37.6638339588, 127.0368246690"
3478,"37.6101544806, 126.9282204875"
3479,"37.6103774734, 126.9277741557"
3480,"37.6200964500, 126.9213170149"
3481,"37.6123861099, 126.9274344732"
3482,"37.5834474478, 126.8947687089"
3483,"37.6094039410, 126.9299943298"
3484,"37.5990897158, 126.9364303313"
3485,"37.5888129039, 126.9155728257"
3486,"37.6078872831, 126.9255411811"
3487,"37.6177797861, 126.9209810122"
3488,"37.6094477343, 126.9320066055"
3489,"37.6202140751, 126.9212513067"
3490,"nan, nan"
3491,"37.6027754610, 126.9257377735"
3492,"37.6096617437, 126.9315811366"
3493,"37.6206693307, 126.9206931879"
3494,"37.6179353289, 126.9204925493"
3495,"37.6200699628, 126.9211847420"
3496,"37.6180322910, 126.9214579436"
3497,"37.6193464287, 126.9200522382"
3498,"37.6170579772, 126.9221598625"
3499,"37.6095129517, 126.9299790514"
3500,"37.5879037336, 126.9163617676"
3501,"37.6199192728, 126.9196487199"
3502,"37.5831410463, 126.8954064286"
3503,"37.6074034401, 126.9245298700"
3504,"37.6237504363, 126.9189686737"
3505,"37.5833756485, 126.8924800439"
3506,"37.6178399407, 126.9203981855"
3507,"37.5722972169, 126.9893407434"
3508,"37.6195590926, 126.9223928575"
3509,"37.5999015049, 126.9211884699"
3510,"37.5880569261, 126.9170337993"
3511,"37.6006304191, 126.9243754559"
3512,"37.5825205867, 126.8954677531"
3513,"37.6180196215, 126.9202999038"
3514,"37.6178705828, 126.9212164000"
3515,"37.6092833059, 126.9300066744"
3516,"37.6123307887, 126.9271412981"
3517,"37.6068771107, 126.9216702425"
3518,"37.5822499205, 126.8962760257"
3519,"37.6184063232, 126.9211009803"
3520,"37.6088990548, 126.9291356560"
3521,"37.6091270505, 126.9298147409"
3522,"37.6086211149, 126.9299156725"
3523,"37.6032311440, 126.9262521354"
3524,"37.6203321372, 126.9204939615"
3525,"37.6089534965, 126.9305364476"
3526,"37.6115090214, 126.9298585986"
3527,"37.6124197128, 126.9269897833"
3528,"37.6204104057, 126.9208553282"
3529,"37.6090302395, 126.9306534813"
3530,"nan, nan"
3531,"37.6009043346, 126.9189668466"
3532,"37.5903246644, 126.9179804566"
3533,"37.6146257995, 126.9093429569"
3534,"37.6000579619, 126.9192557361"
3535,"37.6078872831, 126.9255411811"
3536,"37.6099580168, 126.9189616683"
3537,"37.5999015049, 126.9211884699"
3538,"37.6079387418, 126.9224817181"
3539,"37.6160304524, 126.9234793392"
3540,"37.6006743036, 126.9291779966"
3541,"37.6119531823, 126.9274304767"
3542,"37.6179923438, 126.9231865695"
3543,"37.5973831523, 126.9149675176"
3544,"nan, nan"
3545,"37.6060606167, 126.9234287382"
3546,"37.5900076312, 126.8843344513"
3547,"37.6094432150, 126.9316696757"
3548,"37.6367198609, 126.9172834680"
3549,"37.6236381700, 126.9180505752"
3550,"37.5833677780, 126.8945421635"
3551,"37.5990694266, 126.9367342830"
3552,"nan, nan"
3553,"nan, nan"
3554,"nan, nan"
3555,"37.6086723897, 126.9303867608"
3556,"37.6099211880, 126.9307392948"
3557,"37.6077334250, 126.9253048632"
3558,"nan, nan"
3559,"nan, nan"
3560,"nan, nan"
3561,"37.5827966010, 126.8933970100"
3562,"nan, nan"
3563,"37.6107704526, 126.9286096132"
3564,"37.6088274865, 126.9284889294"
3565,"37.6094039410, 126.9299943298"
3566,"37.6089358523, 126.9308693185"
3567,"37.5940607918, 126.9160366959"
3568,"37.6176987323, 126.9233566598"
3569,"37.6091151388, 126.9263827978"
3570,"37.6342433959, 126.9149778740"
3571,"37.6358092285, 126.9333579943"
3572,"nan, nan"
3573,"nan, nan"
3574,"37.5998093595, 126.9214977136"
3575,"37.6067442315, 126.9198169159"
3576,"37.6174773681, 126.9215867459"
3577,"nan, nan"
3578,"37.6140091340, 126.9263890732"
3579,"37.5819114976, 126.8966756855"
3580,"37.5945828283, 126.9173159771"
3581,"37.6338110762, 126.9177358955"
3582,"nan, nan"
3583,"nan, nan"
3584,"37.5884930998, 126.9142645515"
3585,"nan, nan"
3586,"37.5932043517, 126.9182795084"
3587,"37.5996366739, 126.9223669006"
3588,"37.5981550143, 126.9209039332"
3589,"37.5996212178, 126.9228415064"
3590,"37.6203319244, 126.9207132555"
3591,"nan, nan"
3592,"37.6075105457, 126.9221382157"
3593,"nan, nan"
3594,"nan, nan"
3595,"nan, nan"
3596,"nan, nan"
3597,"37.5942919130, 126.9168240789"
3598,"37.5918939097, 126.9152841227"
3599,"37.6342997703, 126.9312511896"
3600,"nan, nan"
3601,"37.6517620939, 126.9445880799"
3602,"37.6086035240, 126.9292754651"
3603,"37.6532319521, 126.9563825183"
3604,"37.5998742219, 126.9206758585"
3605,"37.6168662201, 126.9239145582"
3606,"37.6173915717, 126.9216888897"
3607,"37.5878623198, 126.9158994137"
3608,"37.6078546007, 126.9195371223"
3609,"37.6167812207, 126.9224746913"
3610,"37.6205891640, 126.9204569876"
3611,"37.6180824676, 126.9211750601"
3612,"37.6204978863, 126.9195154559"
3613,"37.5876761514, 126.9171403110"
3614,"nan, nan"
3615,"37.6106963896, 126.9284580329"
3616,"37.6005896056, 126.9346353068"
3617,"37.6170579772, 126.9221598625"
3618,"37.6008393547, 126.9334964394"
3619,"nan, nan"
3620,"37.6034373968, 126.9245669446"
3621,"37.6446533978, 126.9305721082"
3622,"37.6005896056, 126.9346353068"
3623,"nan, nan"
3624,"37.5571672105, 126.9443336141"
3625,"37.6137840922, 126.9261409122"
3626,"37.6115431327, 126.9296465471"
3627,"37.6120702519, 126.9277750104"
3628,"37.6226285743, 126.9194321671"
3629,"37.5998287322, 126.9202900963"
3630,"37.5883094398, 126.9153357391"
3631,"nan, nan"
3632,"37.6201115613, 126.9208750144"
3633,"37.5562468045, 126.9375918117"
3634,"37.5564867818, 126.9380130749"
3635,"37.5560726059, 126.9376947192"
3636,"37.5697413504, 126.9155187432"
3637,"37.5570219111, 126.9416007548"
3638,"37.5567730479, 126.9397915015"
3639,"37.5562311723, 126.9381916497"
3640,"37.5569438763, 126.9432463890"
3641,"37.5568891908, 126.9385755634"
3642,"37.5568590150, 126.9387635727"
3643,"37.5566177360, 126.9394781314"
3644,"37.5565984399, 126.9378882635"
3645,"37.5839178472, 126.9146213358"
3646,"37.5696596648, 126.9153155376"
3647,"37.5701529939, 126.9163748292"
3648,"37.5933237745, 126.9473102503"
3649,"37.5580545015, 126.9572822470"
3650,"37.5562164120, 126.9387410109"
3651,"nan, nan"
3652,"37.5565313960, 126.9385586545"
3653,"37.5563774019, 126.9376729622"
3654,"37.5564983991, 126.9376602990"
3655,"37.5565111835, 126.9364588231"
3656,"37.5570048932, 126.9377427217"
3657,"37.5561451982, 126.9388472268"
3658,"37.5669806676, 126.9649202456"
3659,"37.5891627922, 127.0551029113"
3660,"37.5904915788, 127.0588301714"
3661,"37.6012273556, 126.9335574715"
3662,"37.5906948999, 126.9414663225"
3663,"37.5577743942, 126.9302555454"
3664,"37.5907006143, 126.9437686698"
3665,"37.5570129403, 126.9379674820"
3666,"37.5563657336, 126.9379288600"
3667,"37.5562647797, 126.9380200493"
3668,"37.5566033882, 126.9380462518"
3669,"37.5569438763, 126.9432463890"
3670,"37.5561103371, 126.9373153274"
3671,"nan, nan"
3672,"37.5564363908, 126.9395280750"
3673,"37.5951158857, 126.9480075235"
3674,"37.5891240833, 126.9453571476"
3675,"37.5570839875, 126.9373768716"
3676,"37.5576280967, 126.9425077320"
3677,"37.5869029902, 126.9433270213"
3678,"nan, nan"
3679,"37.5910925455, 126.9441474599"
3680,"37.5922762748, 126.9428427423"
3681,"37.5571197100, 126.9433485666"
3682,"37.5568617941, 126.9378744638"
3683,"37.5694806859, 126.9153837701"
3684,"nan, nan"
3685,"37.5853530423, 126.9482992857"
3686,"37.5698899198, 126.9261246242"
3687,"nan, nan"
3688,"37.5578531852, 126.9442390537"
3689,"37.5565410441, 126.9348742346"
3690,"nan, nan"
3691,"37.5566038267, 126.9376809222"
3692,"37.5889884428, 126.9443053948"
3693,"nan, nan"
3694,"37.5588162518, 126.9566705353"
3695,"37.5692736537, 126.9162915958"
3696,"nan, nan"
3697,"nan, nan"
3698,"nan, nan"
3699,"37.5702174115, 126.9147324012"
3700,"37.5565226218, 126.9383196362"
3701,"37.5567408473, 126.9383271523"
3702,"37.5564839718, 126.9400745582"
3703,"37.5578062364, 126.9425335127"
3704,"nan, nan"
3705,"37.5559960250, 126.9382164027"
3706,"37.5642807834, 126.9672573459"
3707,"37.5692075794, 126.9626074367"
3708,"37.5602321022, 126.9334800328"
3709,"nan, nan"
3710,"37.5608192614, 126.9639137822"
3711,"37.5587681987, 126.9381886487"
3712,"nan, nan"
3713,"37.5870258003, 126.9466230220"
3714,"37.5702947770, 126.9177376612"
3715,"37.5879905493, 126.9457578785"
3716,"37.5570129403, 126.9379674820"
3717,"37.5567179952, 126.9404988912"
3718,"37.5568224292, 126.9380623677"
3719,"nan, nan"
3720,"37.5814510024, 126.9352887509"
3721,"37.5579498333, 126.9571100511"
3722,"37.5703166379, 126.9164075862"
3723,"37.5567383591, 126.9377066142"
3724,"37.5563984802, 126.9383499562"
3725,"37.5567152540, 126.9379736138"
3726,"37.5915130154, 126.9466292153"
3727,"37.5578415539, 126.9438411322"
3728,"37.5661089418, 126.9300521842"
3729,"37.5570229583, 126.9385167154"
3730,"37.5562265007, 126.9377030791"
3731,"37.5903670566, 126.9433701381"
3732,"37.5568863524, 126.9413208643"
3733,"37.5701900167, 126.9147259802"
3734,"37.5931769250, 126.9473374159"
3735,"37.5565051124, 126.9396562467"
3736,"37.5893782439, 126.9355184147"
3737,"37.5625341632, 126.9279767882"
3738,"37.5569825258, 126.9383865966"
3739,"37.5563723702, 126.9382137153"
3740,"37.5625875712, 126.9673665174"
3741,"37.5674832971, 126.9644981450"
3742,"37.5694612009, 126.9620157552"
3743,"37.5887582952, 126.9448080533"
3744,"37.5691834101, 126.9157091999"
3745,"nan, nan"
3746,"37.5585039740, 126.9389539500"
3747,"37.5700451942, 126.9151810777"
3748,"37.5578450656, 126.9440261739"
3749,"nan, nan"
3750,"37.5583445109, 126.9374303684"
3751,"37.5698411193, 126.9154330550"
3752,"nan, nan"
3753,"37.5588975131, 126.9568929973"
3754,"37.5647674448, 126.9645642903"
3755,"nan, nan"
3756,"37.5688535968, 126.9621006194"
3757,"37.5567147424, 126.9345231270"
3758,"37.5580079614, 126.9387534651"
3759,"nan, nan"
3760,"37.5573466152, 126.9439867087"
3761,"37.5743308873, 126.9237994852"
3762,"37.5574399272, 126.9413249573"
3763,"37.5813094941, 126.9358532376"
3764,"nan, nan"
3765,"37.5576846720, 126.9436135384"
3766,"nan, nan"
3767,"37.5578535241, 126.9441934432"
3768,"37.5567204494, 126.9379157770"
3769,"nan, nan"
3770,"37.5695270895, 126.9165260778"
3771,"nan, nan"
3772,"37.5582261445, 126.9464592061"
3773,"37.5578940522, 126.9375057814"
3774,"37.5594590833, 126.9447308665"
3775,"37.5565847979, 126.9393775454"
3776,"nan, nan"
3777,"37.5924244281, 126.9432789016"
3778,"nan, nan"
3779,"37.5922260502, 126.9422066601"
3780,"37.5591101116, 126.9383314243"
3781,"nan, nan"
3782,"nan, nan"
3783,"nan, nan"
3784,"37.5750553639, 126.9047932096"
3785,"37.5577118729, 126.9441629911"
3786,"nan, nan"
3787,"37.5588872747, 126.9384651587"
3788,"37.5702354877, 126.9167042496"
3789,"nan, nan"
3790,"nan, nan"
3791,"37.5572102065, 126.9413925903"
3792,"nan, nan"
3793,"nan, nan"
3794,"37.5672883924, 126.9638409358"
3795,"37.5575665419, 126.9573390007"
3796,"37.5563064126, 126.9380330299"
3797,"37.5707693675, 126.9136256157"
3798,"37.5567078190, 126.9380560116"
3799,"37.5658257257, 126.9281961489"
3800,"37.5923950212, 126.9470843333"
3801,"37.5654515615, 126.9654435539"
3802,"37.5565043888, 126.9396509281"
3803,"nan, nan"
3804,"37.5710473144, 126.9143539433"
3805,"nan, nan"
3806,"nan, nan"
3807,"nan, nan"
3808,"37.5570280082, 126.9385249731"
3809,"nan, nan"
3810,"37.5568432127, 126.9424558216"
3811,"37.5658970536, 126.9304012313"
3812,"37.5564381012, 126.9395252443"
3813,"37.5563111125, 126.9372082091"
3814,"37.5709775627, 126.9148317138"
3815,"nan, nan"
3816,"37.5563724085, 126.9379432277"
3817,"37.5567763917, 126.9398113045"
3818,"nan, nan"
3819,"37.5745292057, 126.9188126129"
3820,"nan, nan"
3821,"nan, nan"
3822,"37.5664995834, 126.9303058174"
3823,"nan, nan"
3824,"nan, nan"
3825,"37.5580314270, 126.9431569464"
3826,"37.5568774919, 126.9416223708"
3827,"37.5586210248, 126.9370873206"
3828,"37.5573140267, 126.9432894548"
3829,"37.5698836709, 126.9209287456"
3830,"nan, nan"
3831,"nan, nan"
3832,"37.5583321001, 126.9366288543"
3833,"nan, nan"
3834,"37.5811013959, 126.9507358346"
3835,"nan, nan"
3836,"37.5703914133, 126.9607148876"
3837,"37.5748265559, 126.9057468935"
3838,"37.5769846886, 126.9110645115"
3839,"nan, nan"
3840,"nan, nan"
3841,"37.5558980909, 126.9378812621"
3842,"37.5563849611, 126.9393860823"
3843,"37.5658874681, 126.9657692241"
3844,"37.5582779888, 126.9447790472"
3845,"nan, nan"
3846,"37.5692736537, 126.9162915958"
3847,"37.5585351456, 126.9280689164"
3848,"nan, nan"
3849,"37.5581184522, 126.9440770124"
3850,"37.5783172527, 126.9303741628"
3851,"nan, nan"
3852,"37.5489206144, 126.9389793068"
3853,"nan, nan"
3854,"nan, nan"
3855,"37.5908646926, 126.9457094828"
3856,"37.5561412153, 126.9376064992"
3857,"37.5569347515, 126.9388653687"
3858,"37.5938186902, 126.9475145105"
3859,"37.5570252875, 126.9391867138"
3860,"nan, nan"
3861,"37.5561333575, 126.9370611184"
3862,"37.5642940516, 126.9645316903"
3863,"nan, nan"
3864,"37.5576261016, 126.9424813634"
3865,"37.5773875145, 126.9220120091"
3866,"37.5934026515, 126.9405659418"
3867,"37.5568131489, 126.9384068813"
3868,"nan, nan"
3869,"37.5406839207, 126.9483610352"
3870,"37.5391333618, 126.9476828729"
3871,"37.5539004695, 126.9356574125"
3872,"37.5534955066, 126.9353926024"
3873,"37.5550145116, 126.9345979505"
3874,"nan, nan"
3875,"37.5523262543, 126.9181996777"
3876,"37.5494452119, 126.9071014135"
3877,"37.5541237480, 126.9365104192"
3878,"37.5548484499, 126.9350734199"
3879,"37.5563754650, 126.9536258501"
3880,"37.5594957301, 126.9235316471"
3881,"37.5545888730, 126.9217040664"
3882,"37.5527808005, 126.9361571122"
3883,"37.5549954518, 126.9351629251"
3884,"37.5533718528, 126.9363197994"
3885,"37.5484741843, 126.9570165768"
3886,"37.5586493941, 126.9169522198"
3887,"37.5515258354, 126.9368926392"
3888,"37.5562401586, 126.9466412537"
3889,"37.5534750914, 126.9357915455"
3890,"37.5562330265, 126.9425776139"
3891,"37.5539013162, 126.9355577081"
3892,"37.5489206144, 126.9389793068"
3893,"37.5527165241, 126.9362586798"
3894,"37.5532953637, 126.9197698718"
3895,"37.5537080443, 126.9365414411"
3896,"37.5490080785, 126.9105250413"
3897,"37.5373980603, 126.9465314664"
3898,"37.5428436189, 126.9513359562"
3899,"nan, nan"
3900,"nan, nan"
3901,"37.5552101153, 126.9161978909"
3902,"37.5550880562, 126.9383244401"
3903,"37.5537064004, 126.9353380984"
3904,"37.5536987658, 126.9357117946"
3905,"37.5520126857, 126.9572936174"
3906,"nan, nan"
3907,"nan, nan"
3908,"nan, nan"
3909,"37.5540882095, 126.9367731199"
3910,"37.5474892877, 126.9456164792"
3911,"37.5549378646, 126.9336788299"
3912,"nan, nan"
3913,"37.5535447493, 126.9361436723"
3914,"37.5693531428, 126.9116231449"
3915,"37.5531249819, 126.9359911380"
3916,"37.5537791243, 126.9358582818"
3917,"37.5533944958, 126.9352118436"
3918,"37.5538795237, 126.9362430902"
3919,"37.5471570778, 126.9547744857"
3920,"37.5595536860, 126.9172822663"
3921,"37.5536326436, 126.9350733429"
3922,"37.5474489483, 126.9548710622"
3923,"37.5536096321, 126.9356659240"
3924,"37.5543349118, 126.9212073954"
3925,"37.5564482575, 126.9473741388"
3926,"37.5533197452, 126.9356000818"
3927,"37.5537822642, 126.9205713914"
3928,"37.5579849864, 126.9247280024"
3929,"37.5823579752, 126.8866986481"
