,naver_pk
336,"37.5770418730, 127.0221873636"
337,"37.5769658324, 126.9906554175"
338,"nan, nan"
339,"37.5694944159, 126.9905781335"
340,"37.5752585953, 126.9968463815"
341,"37.5742102391, 126.9995253451"
342,"nan, nan"
343,"37.5294979892, 126.8466919730"
344,"37.5744668688, 126.9835521826"
345,"37.5755697439, 126.9987177405"
346,"37.5529925636, 126.8500872689"
347,"37.5721158922, 127.0042131378"
348,"37.5713698505, 126.8029603593"
349,"nan, nan"
350,"nan, nan"
351,"37.5597174210, 126.8357945918"
352,"37.5690822570, 126.9849432756"
353,"37.5580365924, 126.9801405573"
354,"37.5757964652, 127.0039490135"
355,"37.5839601634, 126.9991096654"
356,"37.5817583017, 127.0449983866"
357,"37.4849270383, 126.8965380369"
358,"37.5690835584, 126.9860005072"
359,"37.4806526146, 126.8917663371"
360,"37.5690835584, 126.9860005072"
361,"37.5467713048, 126.8462643919"
362,"37.5690835584, 126.9860005072"
363,"nan, nan"
364,"37.5696548527, 126.9913572334"
365,"37.5693856990, 126.9863141125"
366,"37.5750899995, 126.9961786037"
367,"37.5704282625, 127.0118163064"
368,"37.5696765258, 126.9847265010"
369,"37.5732412804, 127.0186387657"
370,"37.5717291821, 127.0063038830"
371,"37.5721322406, 127.0116561732"
372,"37.5694556297, 126.9849443324"
373,"nan, nan"
374,"37.5696598758, 126.9863482471"
375,"37.5720993363, 126.9806577635"
376,"37.5692293888, 126.9911699462"
377,"nan, nan"
378,"37.5705784063, 127.0139453252"
379,"37.5751888753, 126.9894021402"
380,"37.5746303164, 127.0163963463"
381,"37.5703504680, 127.0130386967"
382,"37.5708043255, 126.9863947884"
383,"37.5737460909, 127.0223677339"
384,"37.5719984473, 127.0140934271"
385,"nan, nan"
386,"37.5689809032, 126.9843141647"
387,"37.5719036659, 126.9859339848"
388,"37.5673718468, 126.9820103781"
389,"37.5708863958, 127.0165123445"
390,"37.5819831892, 126.9979528732"
391,"nan, nan"
392,"37.5709309916, 127.0120763989"
393,"nan, nan"
394,"37.5733147065, 127.0208246835"
395,"37.5704485321, 127.0087438292"
396,"nan, nan"
397,"nan, nan"
398,"37.5743758276, 126.9895138726"
399,"37.5208463984, 126.9066719549"
400,"37.5183556847, 126.9097094280"
401,"nan, nan"
402,"37.5738925237, 127.0222555952"
403,"37.5770338920, 126.9911034784"
404,"37.5821250971, 126.9820300375"
405,"37.5687293854, 126.9885902133"
406,"37.5757216155, 126.9968108159"
407,"37.5706477164, 127.0101891435"
408,"37.6110098061, 126.9764415338"
409,"37.5732544172, 127.0228420093"
410,"37.5723948494, 126.9871734214"
411,"37.5740577856, 126.9896163645"
412,"37.5723608448, 126.9895386060"
413,"37.5718859291, 126.9981643775"
414,"37.5744231772, 126.9911954826"
415,"37.4760662024, 126.9808407024"
416,"37.5729945693, 126.9873373452"
417,"37.4790338484, 126.9517497790"
418,"nan, nan"
419,"37.5748506860, 126.9889014925"
420,"nan, nan"
